destination,destination_display,country,location_id,path,checkin_offset,checkin_date,checkout_date,stay_nights,occupancy_adults,url,run_date
Seoul,Seoul,Hàn Quốc,200-81393,lm,30,2026-09-18,2026-09-19,1,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20260918-20260919;drs-40;rc-1-1,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,30,2026-09-18,2026-09-19,1,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20260918-20260919;drs-40;rc-1-2,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,30,2026-09-18,2026-09-22,4,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20260918-20260922;drs-40;rc-1-1,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,30,2026-09-18,2026-09-22,4,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20260918-20260922;drs-40;rc-1-2,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,90,2026-11-17,2026-11-18,1,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20261117-20261118;drs-40;rc-1-1,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,90,2026-11-17,2026-11-18,1,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20261117-20261118;drs-40;rc-1-2,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,90,2026-11-17,2026-11-21,4,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20261117-20261121;drs-40;rc-1-1,2026-08-19
Seoul,Seoul,Hàn Quốc,200-81393,lm,90,2026-11-17,2026-11-21,4,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-seoul-h%C3%A0n-qu%E1%BB%91c?search=200-81393;dr-20261117-20261121;drs-40;rc-1-2,2026-08-19
London,London,Vương Quốc Anh,200-17399,lm,1,2026-08-20,2026-08-21,1,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-london-v%C6%B0%C6%A1ng-qu%E1%BB%91c-anh?search=200-17399;dr-20260820-20260821;drs-40;rc-1-1,2026-08-19
London,London,Vương Quốc Anh,200-17399,lm,1,2026-08-20,2026-08-21,1,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-london-v%C6%B0%C6%A1ng-qu%E1%BB%91c-anh?search=200-17399;dr-20260820-20260821;drs-40;rc-1-2,2026-08-19
